No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Keywords,Notes
117,Trivia & Quiz Game,#2563EB,#FFFFFF,#7C3AED,#FFFFFF,#16A34A,#0F172A,#EFF6FF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#000000,#E4ECFC,#DC2626,#FFFFFF,#2563EB,answer arcade entertainment fun gaming knowledge play puzzle question quiz,"Quiz blue + gold leaderboard [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
118,Card & Board Game,#15803D,#FFFFFF,#1B7E41,#FFFFFF,#8344EE,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#1C3A51,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#15803D,arcade board classic entertainment fun gaming play puzzle strategy table,"Felt green + gold on dark [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
119,Idle & Clicker Game,#AF6004,#FFFFFF,#BA8936,#000000,#7C3AED,#FFFFFF,#FFFBEB,#0F172A,#FFFFFF,#0F172A,#FCF6F0,#000000,#FAEEE1,#DC2626,#FFFFFF,#D97706,arcade clicker entertainment fun gaming incremental play puzzle simple tap,"Coin gold + prestige purple [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
120,Word & Crossword Game,#15803D,#FFFFFF,#059468,#000000,#D97706,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F0F7F3,#000000,#E2EFE7,#DC2626,#FFFFFF,#15803D,arcade crossword entertainment fun gaming play puzzle spell text vocabulary,"Word green + letter amber [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
121,Arcade & Retro Game,#DC2626,#FFFFFF,#F29C24,#0F172A,#D61444,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#403154,#94A3B8,#3D4A6A,#DC3D28,#000000,#DC2626,arcade classic entertainment fun gaming nostalgic pixel play puzzle retro,"Arcade red + retro yellow [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
122,Photo Editor & Filters,#8344EE,#FFFFFF,#6164F1,#FFFFFF,#16A34A,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#2D3170,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#8344EE,camera capture image photography picture,"Editor violet + filter cyan on dark [High-risk replacement; AA text, component and focus contrast verified] | Scenario: photo-editor-filters; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
123,Short Video Editor,#EC4899,#0F172A,#DB2777,#FFFFFF,#2563EB,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#3C315E,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#EC4899,clip film movie recording streaming,Video pink on dark + timeline blue | Scenario: short-video-editor; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only.
124,Drawing & Sketching Canvas,#834BE2,#FFFFFF,#8655F6,#FFFFFF,#0891B2,#0F172A,#1C1917,#FFFFFF,#262321,#FFFFFF,#43344D,#D1D5DB,#504B47,#DC2626,#FFFFFF,#834BE2,art canvas doodle illustration sketching,"Canvas purple + tool teal on dark [High-risk replacement; AA text, component and focus contrast verified] | Scenario: drawing-sketching-canvas; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
125,Music Creation & Beat Maker,#8344EE,#FFFFFF,#6164F1,#FFFFFF,#EC4899,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#2D3170,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#8344EE,audio instrument melody rhythm song sound,"Creative purple + expression pink [High-risk replacement; AA text, component and focus contrast verified] | Scenario: music-creation-beat-maker; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
126,Meme & Sticker Maker,#E2177C,#FFFFFF,#F5340B,#0F172A,#2563EB,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#FDF4F8,#000000,#FCE9F2,#DC2626,#FFFFFF,#EC4899,comedy creative emoji fun funny humor meme sticker viral,"Viral pink + comedy yellow + share blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: meme-sticker-maker; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
127,AI Photo & Avatar Generator,#077E9B,#FFFFFF,#329EAE,#000000,#EC4899,#0F172A,#ECFEFF,#164E63,#FFFFFF,#164E63,#E8F1F6,#000000,#A5F3FC,#DC2626,#FFFFFF,#0891B2,camera capture character face image photography picture portrait selfie,"Creative cyan + generation pink [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
128,Link-in-Bio Page Builder,#2563EB,#FFFFFF,#7C3AED,#FFFFFF,#EC4899,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#000000,#E4ECFC,#DC2626,#FFFFFF,#2563EB,link bio social profile page builder portfolio,"Brand blue + creator purple [High-risk replacement; AA text, component and focus contrast verified] | Scenario: link-in-bio-page-builder; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
129,Wardrobe & Outfit Planner,#BE185D,#FFFFFF,#EC4698,#000000,#D57506,#000000,#FDF2F8,#0F172A,#FFFFFF,#0F172A,#FBF1F5,#000000,#F7E3EB,#DC2626,#FFFFFF,#BE185D,clothing dress fashion outfit style wardrobe,"Fashion rose + gold accent [High-risk replacement; AA text, component and focus contrast verified] | Scenario: wardrobe-outfit-planner; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
130,Plant Care Tracker,#15803D,#FFFFFF,#059468,#000000,#DB2777,#FFFFFF,#FAFAFA,#0F172A,#FFFFFF,#0F172A,#F0F7F3,#000000,#E2EFE7,#DC2626,#FFFFFF,#15803D,floral flower garden green nature,"Nature green + sun yellow; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: plant-care-tracker; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
131,Book & Reading Tracker,#78675A,#FFFFFF,#92400E,#FFFFFF,#15803D,#FFFFFF,#FFFFFF,#0F172A,#FFFBEB,#0F172A,#F6F6F6,#000000,#EEEDED,#DC2626,#FFFFFF,#78675A,book library literature novel reading,"Book brown + page amber [bg neutralized from #FFFBEB; cream moved to Card surface] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: book-reading-tracker; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
132,Couple & Relationship App,#BE185D,#FFFFFF,#EC4698,#000000,#6164F1,#FFFFFF,#FDF2F8,#0F172A,#FFFFFF,#0F172A,#FBF1F5,#000000,#F7E3EB,#DC2626,#FFFFFF,#BE185D,love partner relationship romance,"Romance rose + love red [High-risk replacement; AA text, component and focus contrast verified] | Scenario: couple-relationship-app; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
133,Family Calendar & Chores,#2563EB,#FFFFFF,#059468,#000000,#D97706,#0F172A,#FFFEFB,#0F172A,#FFFFFF,#0F172A,#F2F0EC,#000000,#E3E2DE,#DC2626,#FFFFFF,#2563EB,agenda child group home household organizing parent planner schedule,"Family blue + chore green [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
134,Mood Tracker,#BE185D,#FFFFFF,#EC4899,#0F172A,#0891B2,#0F172A,#FDF2F8,#831843,#FFFFFF,#831843,#FBF1F5,#000000,#F7E3EB,#DC2626,#FFFFFF,#BE185D,emotion feeling health mental wellbeing,"Emotional rose + insight amber [High-risk replacement; AA text, component and focus contrast verified] | Scenario: mood-tracker; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
135,Gift & Wishlist,#DA2323,#FFFFFF,#D07206,#000000,#8655F6,#FFFFFF,#FFF1F2,#0F172A,#FFFFFF,#0F172A,#FCF1F1,#000000,#FAE4E4,#DC2626,#FFFFFF,#DC2626,buy present shopping surprise wishlist,"Gift red + gold + surprise pink [High-risk replacement; AA text, component and focus contrast verified] | Scenario: gift-wishlist; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
136,Running & Cycling GPS,#EA580C,#0F172A,#F97315,#000000,#059669,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#3C3549,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#EA580C,cycling exercise gps jog marathon outdoor,"Energetic orange + pace green on dark [High-risk replacement; AA text, component and focus contrast verified] | Scenario: running-cycling-gps; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
137,Yoga & Stretching Guide,#5A6680,#FFFFFF,#706C78,#FFFFFF,#0891B2,#0F172A,#F5F5F0,#0F172A,#FFFFFF,#0F172A,#F6F6F7,#000000,#EDEEEF,#DC2626,#FFFFFF,#5A6680,exercise flexibility mindful stretching wellness,"Sage neutral + calm teal [High-risk replacement; AA text, component and focus contrast verified] | Scenario: yoga-stretching-guide; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
138,Sleep Tracker,#635AD3,#FFFFFF,#6164F1,#FFFFFF,#8344EE,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#26326D,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#635AD3,bedtime insomnia night rest,"Night indigo + dream violet on dark [High-risk replacement; AA text, component and focus contrast verified] | Scenario: sleep-tracker; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
139,Calorie & Nutrition Counter,#04875F,#FFFFFF,#1BA778,#000000,#EA580C,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F0F8F6,#000000,#E1F2ED,#DC2626,#FFFFFF,#059669,counter diet food health nutrition,"Healthy green + macro orange; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: calorie-nutrition-counter; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
140,Period & Cycle Tracker,#BE185D,#FFFFFF,#EC4698,#000000,#059669,#0F172A,#FDF2F8,#0F172A,#FFFFFF,#0F172A,#FBF1F5,#000000,#F7E3EB,#DC2626,#FFFFFF,#BE185D,cycle health menstrual tracker women,"Blush rose + fertility lavender [High-risk replacement; AA text, component and focus contrast verified] | Scenario: period-cycle-tracker; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
141,Medication & Pill Reminder,#027CBA,#FFFFFF,#088FB0,#000000,#DC2626,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#EFF7FB,#000000,#E0F0F8,#DC3D28,#000000,#027CBA,drug medicine pharmacy pill prescription,"Medical blue + alert red; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: medication-pill-reminder; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
142,Water & Hydration Reminder,#027CBA,#FFFFFF,#1EA2B8,#000000,#0891B2,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#EFF7FB,#000000,#E0F0F8,#DC2626,#FFFFFF,#027CBA,drink health hydration reminder,"Refreshing blue + water cyan; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: water-hydration-reminder; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
143,Fasting & Intermittent Timer,#566E8F,#FFFFFF,#5B6C86,#FFFFFF,#059669,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#26365E,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#566E8F,clock countdown diet focus health intermittent pomodoro productivity timer,"Focused slate on dark + eating green [High-risk replacement; AA text, component and focus contrast verified] | Scenario: fasting-intermittent-timer; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
144,Anonymous Community / Confession,#5B6C86,#FFFFFF,#566E8F,#FFFFFF,#0891B2,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#26365E,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#5B6C86,confession forum group membership network private secret social whisper,"Protective grey + subtle teal on dark [High-risk replacement; AA text, component and focus contrast verified] | Scenario: anonymous-community-confession; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
146,Study Together / Virtual Coworking,#2563EB,#FFFFFF,#3C83F6,#000000,#C98108,#000000,#FAF9F5,#0F172A,#FFFFFF,#0F172A,#F2F0EC,#000000,#E3E2DE,#DC2626,#FFFFFF,#2563EB,academic education exam flashcard learning office school shared space workspace,"Blue + learning yellow [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
147,Coding Challenge & Practice,#22C55E,#0F172A,#059468,#000000,#8344EE,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#1B3C4C,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#22C55E,code developer engineer programming software,"Code green + difficulty amber on dark [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
149,Music Instrument Learning,#DC2626,#FFFFFF,#9A3412,#FFFFFF,#D97706,#0F172A,#FFFBEB,#0F172A,#FFFFFF,#0F172A,#FCF1F1,#000000,#FAE4E4,#DC3D28,#000000,#DC2626,audio education educational instrument learn melody rhythm school song sound study teaching,"Musical red + warm amber [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
150,Parking Finder,#2563EB,#FFFFFF,#059468,#000000,#6164F1,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#000000,#E4ECFC,#DC2626,#FFFFFF,#2563EB,car park space urban vehicle,"Available blue/green + occupied red; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: parking-finder; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
151,Public Transit Guide,#2563EB,#FFFFFF,#088FB0,#000000,#EA580C,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#000000,#E4ECFC,#DC2626,#FFFFFF,#2563EB,bus commute metro public subway train,"Transit blue + line colors [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
153,VPN & Privacy Tool,#386DB2,#FFFFFF,#566E8F,#FFFFFF,#0891B2,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#223663,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#386DB2,network privacy protection security,"Dark blue + privacy teal [High-risk replacement; AA text, component and focus contrast verified] | Scenario: vpn-privacy-tool; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
154,Emergency SOS & Safety,#DA2323,#FFFFFF,#EF4343,#000000,#2563EB,#FFFFFF,#FFF1F2,#0F172A,#FFFFFF,#0F172A,#FCF1F1,#000000,#FAE4E4,#DC2626,#FFFFFF,#DC2626,alert crisis safety sos urgent,"Alert red + safety blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: emergency-sos-safety; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
156,White Noise & Ambient Sound,#5B6C86,#FFFFFF,#566E8F,#FFFFFF,#635AD3,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#26365E,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#5B6C86,ambient noise relax sleep sound,"Ambient grey + deep indigo on dark [High-risk replacement; AA text, component and focus contrast verified] | Scenario: white-noise-ambient-sound; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
158,Travel/Tourism Agency,#ED002B,#FFFFFF,#790467,#FFFFFF,#92400E,#FFFFFF,#FFFFFF,#222222,#FFFFFF,#222222,#F7F7F7,#000000,#DDDDDD,#DC2626,#FFFFFF,#FF385C,advertising creative destination journey marketing promotion studio tour tourism travel trip vacation,"Brand-inspired (airbnb) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: travel-tourism-agency; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
159,Automotive/Car Dealership,#DA291C,#FFFFFF,#9E962E,#000000,#9A932D,#000000,#181818,#FFFFFF,#FFFFFF,#000000,#383838,#D1D5DB,#4B4B4B,#DC2626,#FFFFFF,#DA291C,auto automotive car driving motor vehicle,"Brand-inspired (ferrari) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: automotive-car-dealership; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
160,AI/Chatbot Platform,#B55838,#FFFFFF,#A1903A,#000000,#449C8B,#000000,#FAF9F5,#141413,#FFFFFF,#141413,#F5F0E8,#000000,#E6DFD8,#DC2626,#FFFFFF,#CC785C,ai assistant bot conversation virtual,"Brand-inspired (claude) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
161,Developer Tool / IDE,#CC4100,#FFFFFF,#989043,#000000,#1E8662,#FFFFFF,#F7F7F4,#26251E,#FFFFFF,#26251E,#FFFFFF,#64748B,#E6E5E0,#DC2626,#FFFFFF,#F54E00,code coding dev engineer programming software,"Brand-inspired (cursor) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
162,AI/Chatbot Platform,#D84004,#FFFFFF,#E63E00,#000000,#415673,#FFFFFF,#FFFFFF,#1F1F1F,#FFFFFF,#1F1F1F,#F0F0F0,#000000,#E1E1E1,#DC2626,#FFFFFF,#FA520F,ai assistant bot conversation virtual,"Brand-inspired (mistral.ai) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
163,Music Streaming,#13883D,#000000,#30A65A,#000000,#1CAB4E,#000000,#FFFFFF,#121212,#FFFFFF,#121212,#EEEEEE,#000000,#4D4D4D,#DC2626,#FFFFFF,#30A65A,audio instrument melody rhythm song sound,"Brand-inspired (spotify) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: music-streaming; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
164,Banking/Traditional Finance,#EB001B,#FFFFFF,#D70007,#FFFFFF,#293F73,#FFFFFF,#FFFFFF,#141413,#FFFFFF,#141413,#F0F0F0,#000000,#E1E1E1,#DC2626,#FFFFFF,#EB001B,bank banking finance financial fintech money,"Brand-inspired (mastercard) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: finance|banking|wealth-management; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
165,SaaS (General),#D54200,#FFFFFF,#EB3B00,#000000,#293F73,#FFFFFF,#FFFEFB,#201515,#FFFFFF,#201515,#FFFEFB,#64748B,#E1E0DD,#DC2626,#FFFFFF,#FF4F00,cloud platform service software tool,"Brand-inspired (zapier) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
166,Telecom Provider,#AC1811,#FFFFFF,#767676,#FFFFFF,#757575,#FFFFFF,#FFFFFF,#25282B,#FFFFFF,#25282B,#F0F0F0,#000000,#E60000,#DC2626,#FFFFFF,#AC1811,telecom telecommunications carrier network operator phone isp broadband cellular,"Brand-inspired (vodafone) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: telecom-provider; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
167,Cryptocurrency Exchange,#8F7302,#FFFFFF,#6CA22F,#000000,#2FA29C,#000000,#FFFFFF,#181A20,#FFFFFF,#181A20,#F0F0F0,#000000,#E1E1E1,#DC2626,#FFFFFF,#AA9231,bitcoin blockchain crypto defi web3,"Brand-inspired (binance) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
168,Automotive/Car Dealership,#967100,#000000,#789E2E,#000000,#1CA0CA,#000000,#FFFFFF,#000000,#FFFFFF,#000000,#F0F0F0,#374151,#E1E1E1,#DC2626,#FFFFFF,#AE8F32,auto automotive car driving motor vehicle,"Brand-inspired (lamborghini) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: automotive-car-dealership; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
169,Automotive/Car Dealership,#817800,#000000,#62A343,#000000,#609F41,#000000,#FFFFFF,#000000,#FFFFFF,#000000,#F0F0F0,#374151,#D1D1D1,#DC2626,#FFFFFF,#9E972E,auto automotive car driving motor vehicle,"Brand-inspired (renault) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: automotive-car-dealership; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
170,Remote Work/Collaboration Tool,#481A54,#FFFFFF,#340640,#FFFFFF,#A16207,#FFFFFF,#FFFFFF,#1D1D1D,#FFFFFF,#1D1D1D,#F9F0FF,#000000,#E1E1E1,#DC2626,#FFFFFF,#481A54,remote work collaboration team virtual office meeting,"Brand-inspired (slack) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: remote-work-collaboration-tool; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
171,AI/Chatbot Platform,#DA10AB,#000000,#DD18AE,#000000,#415673,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#000000,#F0F0F0,#374151,#E1E1E1,#DC2626,#FFFFFF,#EF2CC1,ai assistant bot conversation virtual,"Brand-inspired (together.ai) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
172,Social Media App,#E60023,#FFFFFF,#734B1F,#FFFFFF,#1F7347,#FFFFFF,#FFFFFF,#211922,#FFFFFF,#211922,#F0F0F0,#000000,#C8C8C1,#DC2626,#FFFFFF,#E60023,social network community feed posts sharing,"Brand-inspired (pinterest) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: social-media-app; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
174,Banking/Traditional Finance,#1C1E54,#FFFFFF,#9816E4,#FFFFFF,#E41657,#FFFFFF,#FFFFFF,#061B31,#FFFFFF,#061B31,#F0F0F0,#000000,#E5EDF5,#DC2626,#FFFFFF,#1C1E54,bank banking finance financial fintech money,"Brand-inspired (stripe) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: finance|banking|wealth-management; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
175,Cryptocurrency Exchange,#0052FF,#FFFFFF,#2FA1A2,#000000,#B28F34,#000000,#FFFFFF,#0A0B0D,#FFFFFF,#0A0B0D,#F7F7F7,#000000,#DEE1E6,#DC2626,#FFFFFF,#0052FF,bitcoin blockchain crypto defi web3,"Brand-inspired (coinbase) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
176,Developer Tool / IDE,#1E7B52,#FFFFFF,#8A8A8A,#000000,#878787,#000000,#EFEFEF,#0F0F0F,#FFFFFF,#0F0F0F,#E0E0E0,#000000,#242424,#DC2626,#FFFFFF,#2D9A69,code coding dev engineer programming software,"Brand-inspired (supabase) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
177,SaaS (General),#06802E,#FFFFFF,#2E9E52,#000000,#293F73,#FFFFFF,#F5F1EC,#111111,#FFFFFF,#111111,#FFFFFF,#64748B,#D3CEC6,#DC2626,#FFFFFF,#2E9E52,cloud platform service software tool,"Brand-inspired (intercom) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
178,Developer Tool / IDE,#362659,#FFFFFF,#4D6BBF,#FFFFFF,#7F9E2E,#000000,#FFFFFF,#362D59,#FFFFFF,#362D59,#E5E7EB,#000000,#CFCFDB,#DC2626,#FFFFFF,#362659,code coding dev engineer programming software,"Brand-inspired (sentry) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
179,Design System/Component Library,#EA005E,#000000,#FF3D8B,#000000,#415673,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#000000,#F7F7F5,#374151,#E6E6E6,#DC2626,#FFFFFF,#FF3D8B,component kit library system ui,"Brand-inspired (figma) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: design-system-component-library; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
180,Cryptocurrency Exchange,#7132F5,#FFFFFF,#14439E,#FFFFFF,#149E61,#101114,#FFFFFF,#101114,#FFFFFF,#101114,#F0F0F0,#000000,#DEDEE5,#DC2626,#FFFFFF,#7132F5,bitcoin blockchain crypto defi web3,"Brand-inspired (kraken) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
181,Gaming,#0070CC,#FFFFFF,#1900D5,#FFFFFF,#D53B00,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#000000,#FFFFFF,#64748B,#F3F3F3,#DC2626,#FFFFFF,#0070CC,arcade entertainment fun game play puzzle,Brand-inspired (playstation) | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only.
182,Productivity Tool,#5E6AD2,#FFFFFF,#7B7FAD,#000000,#7A7FAD,#000000,#010102,#F7F8F8,#FFFFFF,#000000,#2A2D30,#FFFFFF,#3D4049,#DC2626,#FFFFFF,#5E6AD2,efficiency organize task tool work,"Brand-inspired (linear.app) [High-risk replacement; AA text, component and focus contrast verified] | Scenario: productivity-tool; Avoid: —; Origin confidence: 0.55; Recommendation: scenario-first; Evidence: token-only."
183,AI/Chatbot Platform,#11823B,#FFFFFF,#16A249,#000000,#7C3AED,#FFFFFF,#F5F5F5,#0C0A09,#FFFFFF,#0C0A09,#FFFFFF,#64748B,#E7E5E4,#DC2626,#FFFFFF,#16A34A,ai assistant bot conversation virtual,"Green primary + AI purple [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
